,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
0,2018.06.25,2018,Boating,usa,Paddling,57,White shark,"No injury to occupant, outrigger canoe and paddle damaged",Jun,N,F
1,2018.06.03.a,2018,Unprovoked,brazil,Swimming,18,Tiger shark,FATAL,Jun,Y,M
2,2018.05.26.b,2018,Unprovoked,usa,Walking,15,"Bull shark, 6'",Lower left leg bitten,May,N,M
3,2018.05.24,2018,Provoked,australia,Feeding sharks,32,Grey reef shark,Minor bite to hand by captive shark. PROVOKED INCIDENT,May,N,M
4,2018.05.13.a,2018,Invalid,england,Fishing,21,Invalid incident,Injured by teeth of a dead porbeagle shark he was tossing overboard.,May,N,M
5,2018.04.28.b,2018,Unprovoked,costa rica,Scuba diving,30,Tiger shark,"No injury, shark bit scuba gear",Apr,N,M
6,2018.04.25.a,2018,Unprovoked,australia,Surfing,60,3 m shark,"No injury, knocked off board by shark",Apr,N,M
7,2018.04.23,2018,Unprovoked,maldives,Fishing,32,Tiger shark,5-inch cut to hand,Apr,N,M
8,2018.04.22,2018,Unprovoked,south africa,Paddle-skiing,33,"White shark, 2.5 m","No injury, shark bit hole in ski",Apr,N,M
9,2018.04.03,2018,Unprovoked,south africa,Surfing,19,White shark,Lacerations to left knee & lower leg,Apr,N,M
10,2018.03.31,2018,Unprovoked,usa,Stand-Up Paddleboarding,25,"Tiger shark, 12'",Injuries to right leg & hand,Mar,N,M
11,2018.03.14,2018,Unprovoked,australia,Wading,10,Wobbegong shark,Minor injuries to legs,Mar,N,M
12,2018.03.09.b,2018,Unprovoked,australia,Swimming,69,3.5 m shark,"No injury, said to have been charged by sharks several times",Mar,N,M
13,2018.03.09.a,2018,Unprovoked,australia,Surfing,18,1.8 m shark,"Minor injury, ankle grazed",Mar,N,M
14,2018.02.23,2018,Unprovoked,australia,Swimming,55,"Juvenile white shark,  2.7 to 3.2 m",Laceratons to right leg & foot,Feb,N,F
15,2018.02.15,2018,Unprovoked,australia,Walking,35,"Bull shark, 2 m",Puncture wounds to leff foot & lower leg,Feb,N,M
16,2018.01.12,2018,Unprovoked,brazil,Surfing,20,small shark,Minor injury to left forearm,Jan,N,M
17,2017.12.31,2017,Unprovoked,usa,Surfing,54,Tiger shark,Severe lacerations to left thigh & knee,Dec,N,F
18,2017.11.24,2017,Unprovoked,usa,Spearfishing,25,"White shark, 4.6 m",Right leg bitten,Nov,N,M
19,2017.11.13,2017,Unprovoked,australia,Surfing,25,2 m shark,Puncture wounds to left shoulder,Nov,N,M
20,2017.11.04,2017,Unprovoked,cuba,Night bathing,22,Tiger shark,FATAL,Nov,Y,M
21,2017.10.28,2017,Unprovoked,australia,Surfing,31,"Wobbegong shark, 1 m",Minor injury to foot,Oct,N,M
22,2017.10.22,2017,Unprovoked,australia,Kayaking / Fishing,15,"White shark, 4.5 m",Minor injuries,Oct,N,F
23,2017.10.09,2017,Unprovoked,usa,Surfing,54,"Tiger shark, 8 to 10 feet",Lacerations to left hand,Oct,N,M
24,2017.10.05,2017,Unprovoked,usa,Snorkeling,40,8' shark,Abrasions,Oct,N,F
25,2017.09.24.b,2017,Invalid,usa,Surfing,33,Questionable,"Lacerations to right ankle, foot & toe",Sep,,M
26,2017.09.13,2017,Unprovoked,usa,Surfing,18,5' to 6' shark,Lacerations to left foot,Sep,N,M
27,2017.09.10.a,2017,Unprovoked,australia,Surfing,35,"White shark, 3 to 3.5m ",Minor lacerations to right hip,Sep,N,M
28,2017.08.29,2017,Unprovoked,australia,Surfing,37,"White shark, 3 m","No injury, board bitten",Aug,N,M
29,2017.08.26.b,2017,Invalid,spain,Swimming,11,Shark involvement questionable,Lacerations to left foot,Aug,,F
30,2017.08.23,2017,Unprovoked,usa,SUP,69,"White shark, 5' to 7'",Not injured by shark but board bitten,Aug,N,M
31,2017.08.10,2017,Unprovoked,usa,Swimming,13,Possibly a juvenile blacktip shark,Minor cuts to sole & toes of left foot,Aug,N,M
32,2017.08.03,2017,Provoked,usa,Fishing,34,4' shark,Foot bitten by landed shark PROVOKED INCIDENT,Aug,N,M
33,2017.07.29.c,2017,Invalid,usa,Swimming,10,A small shark,Abrasions and cuts to sole of foot,Jul,,M
34,2017.07.20.b,2017,Boating,usa,Kayaking,40,"White shark, 11' to 13'","No injury, kayak bitten",Jul,N,M
35,2017.07.20.a,2017,Unprovoked,usa,SUP,50,"White shark, 8' to 10'","No injury, shark bit paddleboard",Jul,N,M
36,2017.07.09,2017,Unprovoked,usa,Swimming,46,"Bull shark, 4' to 5'",Lower legs bitten,Jul,N,M
37,2017.07.07,2017,Unprovoked,south africa,Surfing,13,"White shark, 2.5 m","No injury, shark bit surfboard",Jul,N,F
38,2017.06.11,2017,Unprovoked,australia,Body boarding,48,"White shark, 4 m","No injury, board bitten",Jun,N,M
39,2017.06.02,2017,Unprovoked,bahamas,Snorkeling,32,Tiger shark,Right forearm severed ,Jun,N,F
40,2017.05.03,2017,Invalid,usa,Surfing,18,Shark involvement highly doubtful,"Laceration to thigh, likely caused by surfboard fin",May,,F
41,2017.04.17.a,2017,Unprovoked,australia,Surfing,17,White shark,FATAL,Apr,Y,F
