,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
0,2018.06.25,2018,Boating,usa,Paddling,"No injury to occupant, outrigger canoe and paddle damaged",Jun,N,F,White,57
1,2018.06.03.a,2018,Unprovoked,brazil,Swimming,FATAL,Jun,Y,M,Tiger,18
2,2018.05.26.b,2018,Unprovoked,usa,Walking,Lower left leg bitten,May,N,M,Bull,15
3,2018.05.24,2018,Provoked,australia,Feeding sharks,Minor bite to hand by captive shark. PROVOKED INCIDENT,May,N,M,Grey,32
4,2018.05.13.a,2018,Invalid,england,Fishing,Injured by teeth of a dead porbeagle shark he was tossing overboard.,May,N,M,Unspecified,21
5,2018.04.28.b,2018,Unprovoked,costa rica,Scuba diving,"No injury, shark bit scuba gear",Apr,N,M,Tiger,30
6,2018.04.25.a,2018,Unprovoked,australia,Surfing,"No injury, knocked off board by shark",Apr,N,M,Unspecified,60
7,2018.04.23,2018,Unprovoked,maldives,Fishing,5-inch cut to hand,Apr,N,M,Tiger,32
8,2018.04.22,2018,Unprovoked,south africa,Paddle-skiing,"No injury, shark bit hole in ski",Apr,N,M,White,33
9,2018.04.03,2018,Unprovoked,south africa,Surfing,Lacerations to left knee & lower leg,Apr,N,M,White,19
10,2018.03.31,2018,Unprovoked,usa,Stand-Up Paddleboarding,Injuries to right leg & hand,Mar,N,M,Tiger,25
11,2018.03.14,2018,Unprovoked,australia,Wading,Minor injuries to legs,Mar,N,M,Unspecified,10
12,2018.03.09.b,2018,Unprovoked,australia,Swimming,"No injury, said to have been charged by sharks several times",Mar,N,M,Unspecified,69
13,2018.03.09.a,2018,Unprovoked,australia,Surfing,"Minor injury, ankle grazed",Mar,N,M,Unspecified,18
14,2018.02.23,2018,Unprovoked,australia,Swimming,Laceratons to right leg & foot,Feb,N,F,White,55
15,2018.02.15,2018,Unprovoked,australia,Walking,Puncture wounds to leff foot & lower leg,Feb,N,M,Bull,35
16,2018.01.12,2018,Unprovoked,brazil,Surfing,Minor injury to left forearm,Jan,N,M,Unspecified,20
17,2017.12.31,2017,Unprovoked,usa,Surfing,Severe lacerations to left thigh & knee,Dec,N,F,Tiger,54
18,2017.11.24,2017,Unprovoked,usa,Spearfishing,Right leg bitten,Nov,N,M,White,25
19,2017.11.13,2017,Unprovoked,australia,Surfing,Puncture wounds to left shoulder,Nov,N,M,Unspecified,25
20,2017.11.04,2017,Unprovoked,cuba,Night bathing,FATAL,Nov,Y,M,Tiger,22
21,2017.10.28,2017,Unprovoked,australia,Surfing,Minor injury to foot,Oct,N,M,Unspecified,31
22,2017.10.22,2017,Unprovoked,australia,Kayaking / Fishing,Minor injuries,Oct,N,F,White,15
23,2017.10.09,2017,Unprovoked,usa,Surfing,Lacerations to left hand,Oct,N,M,Tiger,54
24,2017.10.05,2017,Unprovoked,usa,Snorkeling,Abrasions,Oct,N,F,Unspecified,40
25,2017.09.24.b,2017,Invalid,usa,Surfing,"Lacerations to right ankle, foot & toe",Sep,,M,Unspecified,33
26,2017.09.13,2017,Unprovoked,usa,Surfing,Lacerations to left foot,Sep,N,M,Unspecified,18
27,2017.09.10.a,2017,Unprovoked,australia,Surfing,Minor lacerations to right hip,Sep,N,M,White,35
28,2017.08.29,2017,Unprovoked,australia,Surfing,"No injury, board bitten",Aug,N,M,White,37
29,2017.08.26.b,2017,Invalid,spain,Swimming,Lacerations to left foot,Aug,,F,Unspecified,11
30,2017.08.23,2017,Unprovoked,usa,SUP,Not injured by shark but board bitten,Aug,N,M,White,69
31,2017.08.10,2017,Unprovoked,usa,Swimming,Minor cuts to sole & toes of left foot,Aug,N,M,Unspecified,13
32,2017.08.03,2017,Provoked,usa,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,Aug,N,M,Unspecified,34
33,2017.07.29.c,2017,Invalid,usa,Swimming,Abrasions and cuts to sole of foot,Jul,,M,Unspecified,10
34,2017.07.20.b,2017,Boating,usa,Kayaking,"No injury, kayak bitten",Jul,N,M,White,40
35,2017.07.20.a,2017,Unprovoked,usa,SUP,"No injury, shark bit paddleboard",Jul,N,M,White,50
36,2017.07.09,2017,Unprovoked,usa,Swimming,Lower legs bitten,Jul,N,M,Bull,46
37,2017.07.07,2017,Unprovoked,south africa,Surfing,"No injury, shark bit surfboard",Jul,N,F,White,13
38,2017.06.11,2017,Unprovoked,australia,Body boarding,"No injury, board bitten",Jun,N,M,White,48
39,2017.06.02,2017,Unprovoked,bahamas,Snorkeling,Right forearm severed ,Jun,N,F,Tiger,32
40,2017.05.03,2017,Invalid,usa,Surfing,"Laceration to thigh, likely caused by surfboard fin",May,,F,Unspecified,18
41,2017.04.17.a,2017,Unprovoked,australia,Surfing,FATAL,Apr,Y,F,White,17
42,2017.04.14,2017,Unprovoked,usa,Surfing,Lower right leg severely injured,Apr,N,M,Tiger,28
43,2017.04.02.a,2017,Unprovoked,usa,Swimming,Lacerations to thighs,Apr,N,F,Bull,17
44,2017.01.21,2017,Unprovoked,australia,Scuba Diving,"Multiple injuries to arm, wrist and torso",Jan,N,M,Bull,55
45,2017.01.09,2017,Unprovoked,indonesia,Surfing,Injury to right wrist & forearm,Jan,N,M,Bull,48
46,2017.01.03,2017,Invalid,australia,Wading,Minor injuries to foot & toes,Jan,,M,Unspecified,20
47,2016.12.19,2016,Unprovoked,south africa,Surf skiing ,"No injury, but ski severely damaged",Dec,N,M,White,55
48,2016.12.11.a,2016,Invalid,usa,Surfing,Cuts to right ankle & foot,Dec,,M,Unspecified,19
49,2016.12.06,2016,Provoked,australia,Surf fishing,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,Dec,N,M,Unspecified,20
50,2016.12.01,2016,Unprovoked,australia,Surfing,Injuries to foot & arm,Dec,N,M,White,65
51,2016.11.28,2016,Provoked,australia,Fishing,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,Nov,N,M,Unspecified,73
52,2016.11.14,2016,Unprovoked,usa,Floating,Injuries to right calf and thigh,Nov,N,F,Tiger,58
53,2016.10.21,2016,Unprovoked,usa,Surfing,Left arm and leg injured,Oct,N,M,Unspecified,36
54,2016.09.26,2016,Unprovoked,australia,Surfing,4 deep lacerations to thigh,Sep,N,M,White,17
55,2016.09.11,2016,Unprovoked,usa,Wading,Minor injury to arm,Sep,N,M,Unspecified,60
56,2016.09.07,2016,Unprovoked,usa,Swimming,Severe lacerations to shoulder & forearm,Sep,N,F,Tiger,51
57,2016.08.29.b,2016,Unprovoked,usa,Surfing,Lacerations to right foot,Aug,N,M,Bull,25
58,2016.08.06,2016,Unprovoked,usa,SUP Foil boarding,"No inury, shark & board collided",Aug,N,M,Tiger,21
59,2016.07.29,2016,Unprovoked,spain,Swimming,Lacerations to right hand,Jul,N,M,Unspecified,40
60,2016.07.20,2016,Provoked,australia,Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,Jul,N,M,Unspecified,31
61,2016.07.15.b,2016,Unprovoked,usa,Kite surfing,"No injury, board damaged",Jul,N,M,White,61
62,2016.07.07.b,2016,Provoked,usa,Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,Jul,N,M,Unspecified,59
63,2016.07.04,2016,Provoked,australia,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,Jul,N,M,Unspecified,34
64,2016.06.21.b,2016,Unprovoked,usa,Floating,Lacerations and punctures to foot,Jun,N,M,Unspecified,42
65,2016.06.14,2016,Unprovoked,usa,Floating in tube,Injury to lower leg,Jun,N,F,Unspecified,6
66,2016.06.11,2016,Unprovoked,usa,Standing,Laceration to wrist,Jun,N,M,Unspecified,19
67,2016.06.07,2016,Invalid,usa,Surfing,"No injury, board damaged",Jun,,M,Unspecified,27
68,2016.06.05.a,2016,Unprovoked,australia,Diving,FATAL,Jun,Y,F,Unspecified,60
69,2016.06.04,2016,Unprovoked,egypt,Swimming,"Leg severely bitten, surgically amputated",Jun,N,M,Unspecified,23
70,2016.05.31,2016,Unprovoked,australia,Surfing,FATAL,May,Y,M,White,29
71,2016.05.29.a,2016,Unprovoked,usa,Swimming,Injury to posterior right leg,May,N,M,Unspecified,13
72,2016.05.21.b,2016,Unprovoked,usa,Swimming,Lacerations and puncture wounds to foot and ankle,May,N,F,Bull,22
73,2016.05.18,2016,Unprovoked,usa,Swimming,Ankle bitten,May,N,M,Unspecified,48
74,2016.05.15,2016,Provoked,usa,Teasing a shark,Arm grabbed PROVOKED INCIDENT,May,N,F,Unspecified,23
75,2016.05.02,2016,Provoked,new zealand,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,May,N,M,Unspecified,39
76,2016.04.25,2016,Unprovoked,indonesia,Surfing,Elbow bitten,Apr,N,M,Bull,24
77,2016.04.19,2016,Unprovoked,australia,Swimming,Minor puncture wound to foot,Apr,N,M,Unspecified,12
78,2016.04.18.b,2016,Provoked,french polynesia,Spearfishing,Laceration to knee by speared shark PROVOKED INCIDENT,Apr,,M,Grey,22
79,2016.04.18.a,2016,Provoked,french polynesia,Spearfishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",Apr,N,M,Grey,26
80,2016.04.09,2016,Unprovoked,new caledonia,Walking,FATAL,Apr,Y,F,Tiger,69
81,2016.01.23,2016,Unprovoked,usa,Paddle boarding,No injury,Jan,N,M,Tiger,48
82,2016.01.05,2016,Unprovoked,australia,Wading,Laceration to right calf,Jan,N,M,Unspecified,11
83,2016.01.02,2016,Unprovoked,australia,Spearfishing,Lacerations to arms & leg,Jan,N,M,Unspecified,31
84,2015.12.22,2015,Unprovoked,usa,Paddle boarding,"No injury, shark bit board",Dec,N,M,Unspecified,71
